"Dataset: ACS 5-Year Estimates Public Use Microdata Sample (2023)"
"Weight: Person weight (PWGTP)"
"Universe:"
"Selected Geographies: Default (usually U.S.)"
"","","Class of worker (COW)","","","","","","","","","",""
"Group","White recode (White alone or in combination with one or more other races)","Total Class of worker (COW)","Not in universe (less than 16 years old/not in labor force (NILF) who last worked more than 5 years ago or never worked)","Employee of a private for-profit company or business, or of an individual, for wages, salary, or commissions","Employee of a private not-for-profit, tax-exempt, or charitable organization","Local government employee (city, county, etc.)","State government employee","Federal government employee","Self-employed in own not incorporated business, professional practice, or farm","Self-employed in own incorporated business, professional practice or farm","Working without pay in family business or farm","Unemployed and last worked 5 years ago or earlier or never worked"
" -> Yes -> No","","2,042,168","581,754","930,261","135,029","120,224","55,360","50,650","109,140","52,773","6,687","290"
" -> Yes -> No -> No","","1,850,937","549,644","830,623","118,641","105,352","46,614","41,366","103,325","49,086","6,126","160"
"","No","161,667","25,351","91,756","10,562","9,137","3,965","4,852","10,248","4,980","816","0"
"","Yes","1,689,270","524,293","738,867","108,079","96,215","42,649","36,514","93,077","44,106","5,310","160"
" -> Yes -> No -> Yes","","191,231","32,110","99,638","16,388","14,872","8,746","9,284","5,815","3,687","561","130"
"","No","176,906","29,698","91,222","15,000","14,069","8,361","9,035","5,406","3,458","527","130"
"","Yes","14,325","2,412","8,416","1,388","803","385","249","409","229","34","0"
" -> Yes -> Yes","","8,104,818","1,427","5,406,804","458,606","241,070","149,681","132,636","483,576","180,885","45,633","1,004,500"
" -> Yes -> Yes -> No","","6,266,833","861","4,193,884","344,095","181,236","111,637","92,271","405,790","148,892","37,532","750,635"
"","No","1,179,691","198","746,772","61,708","31,939","22,112","19,070","75,316","28,860","8,286","185,430"
"","Yes","5,087,142","663","3,447,112","282,387","149,297","89,525","73,201","330,474","120,032","29,246","565,205"
" -> Yes -> Yes -> Yes","","1,837,985","566","1,212,920","114,511","59,834","38,044","40,365","77,786","31,993","8,101","253,865"
"","No","1,687,736","539","1,109,531","106,120","56,928","35,777","37,748","70,636","29,418","7,074","233,965"
"","Yes","150,249","27","103,389","8,391","2,906","2,267","2,617","7,150","2,575","1,027","19,900"
" -> No, other reasons","","5,604,442","2,772,846","1,880,425","251,037","172,245","89,894","83,936","226,855","99,041","26,421","1,742"
" -> No, other reasons -> Did not report","","379,203","131,058","169,526","18,277","17,584","6,808","6,300","17,897","8,845","1,598","1,310"
" -> No, other reasons -> Did not report -> No","","319,390","112,482","141,328","15,281","14,634","5,312","4,735","15,878","7,649","1,277","814"
"","No","58,557","16,102","27,907","3,453","2,311","1,197","1,404","3,646","1,679","577","281"
"","Yes","260,833","96,380","113,421","11,828","12,323","4,115","3,331","12,232","5,970","700","533"
" -> No, other reasons -> Did not report -> Yes","","59,813","18,576","28,198","2,996","2,950","1,496","1,565","2,019","1,196","321","496"
"","No","54,465","16,769","25,370","2,733","2,801","1,443","1,521","2,009","1,064","276","479"
"","Yes","5,348","1,807","2,828","263","149","53","44","10","132","45","17"
" -> No, other reasons -> N/A (less than 16 years old/at work/temporarily absent/informed of recall)","","0","0","0","0","0","0","0","0","0","0","0"
" -> No, other reasons -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> No","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, other reasons -> N/A (less than 16 years old/at work/temporarily absent/informed of recall) -> Yes","","0","0","0","0","0","0","0","0","0","0","0"
"","No","0","0","0","0","0","0","0","0","0","0","0"
"","Yes","0","0","0","0","0","0","0","0","0","0","0"
" -> No, other reasons -> No","","3,799,299","2,375,067","909,714","134,253","104,789","52,904","48,651","114,311","50,122","9,168","320"
" -> No, other reasons -> No -> No","","3,434,294","2,172,961","808,524","115,511","91,296","44,283","40,357","106,635","46,046","8,395","286"
"","No","315,092","169,612","94,703","12,849","8,861","5,222","6,556","10,692","5,676","782","139"
"","Yes","3,119,202","2,003,349","713,821","102,662","82,435","39,061","33,801","95,943","40,370","7,613","147"
" -> No, other reasons -> No -> Yes","","365,005","202,106","101,190","18,742","13,493","8,621","8,294","7,676","4,076","773","34"
"","No","336,052","187,381","91,443","17,051","12,548","8,157","7,732","7,092","3,886","733","29"
"","Yes","28,953","14,725","9,747","1,691","945","464","562","584","190","40","5"
" -> No, other reasons -> Yes","","1,425,940","266,721","801,185","98,507","49,872","30,182","28,985","94,647","40,074","15,655","112"
" -> No, other reasons -> Yes -> No","","1,130,211","206,875","639,583","76,412","38,432","23,498","20,674","79,774","32,265","12,613","85"
"","No","269,653","60,687","140,986","18,483","8,711","5,710","5,057","18,235","8,734","3,050","0"
"","Yes","860,558","146,188","498,597","57,929","29,721","17,788","15,617","61,539","23,531","9,563","85"
" -> No, other reasons -> Yes -> Yes","","295,729","59,846","161,602","22,095","11,440","6,684","8,311","14,873","7,809","3,042","27"
"","No","265,358","54,466","142,905","20,630","10,255","6,115","7,720","13,337","7,180","2,723","27"
"","Yes","30,371","5,380","18,697","1,465","1,185","569","591","1,536","629","319","0"
